,cnn_2_120,cnnDF_2_120,proposed_2_120,proposedDF_2_120,cnn_2_300,cnnDF_2_300,proposed_2_300,proposedDF_2_300,cnn_2_900,cnnDF_2_900,proposed_2_900,proposedDF_2_900,cnn_2_1500,cnnDF_2_1500,proposed_2_1500,proposedDF_2_1500,cnn_1_120,cnnDF_1_120,deepforest_120,wdcnn_1_120,wdcnnDF_1_120,cnn_1_300,cnnDF_1_300,deepforest_300,wdcnn_1_300,wdcnnDF_1_300,cnn_1_900,cnnDF_1_900,deepforest_900,wdcnn_1_900,wdcnnDF_1_900,cnn_1_1500,cnnDF_1_1500,deepforest_1500,wdcnn_1_1500,wdcnnDF_1_1500
0HP,78.91089081764221,98.9108910891089,78.25082570314407,99.10891089108911,83.63636314868927,99.86824769433466,94.86166000366211,99.96047430830039,87.24153101444244,99.95160580730312,98.64936172962189,100.0,84.64121252298355,99.99729217438397,97.03222274780273,100.0,10.429042726755142,99.10891089108911,84.62046204620461,19.570956826210022,97.42574257425743,13.649538829922674,99.80237154150197,95.8893280632411,70.39525747299194,99.57839262187089,92.87285625934601,99.99560052793666,99.001319841619,99.85041856765747,99.95160580730312,91.87381446361542,99.98916869753589,99.24993230435959,99.95125889778137,99.9918765231519
1HP,70.33003211021423,96.76567656765675,80.06600677967072,99.04290429042904,80.21108090877533,99.52506596306068,97.25593686103821,99.73614775725594,88.75880300998688,99.67429577464789,97.5616192817688,99.93397887323945,81.40845090150833,99.92416034669556,98.31256806850433,99.99729144095342,11.155115514993668,96.8976897689769,78.77887788778878,15.874587595462799,97.95379537953795,9.802110642194748,98.83905013192611,95.27704485488127,51.25329822301865,99.07651715039579,68.20862710475922,99.97359154929578,99.11091549295774,99.70510601997375,99.86795774647888,86.72806084156036,99.98104008667389,99.46912242686889,99.89436686038971,99.96749729144095
2HP,81.78807944059372,99.7682119205298,85.9271514415741,99.90066225165563,87.32189953327179,100.0,97.38786220550537,99.96042216358839,96.92951560020447,99.99559471365639,98.43612432479858,99.99559471365639,99.90783393383026,99.99728923827595,99.50121998786926,100.0,10.894039794802666,99.63576158940397,80.33112582781457,18.774834349751472,98.80794701986756,13.337730914354323,99.9868073878628,95.46174142480211,56.76781058311462,99.85488126649076,96.75330340862274,100.0,99.70044052863436,99.95154142379761,99.99118942731278,88.87774527072906,99.91054486310654,99.87801572241798,99.99457836151123,100.0
3HP,85.6578940153122,100.0,89.07894849777222,99.96710526315789,74.42105323076248,100.0,98.06578934192657,100.0,97.48681902885437,100.0,99.8681902885437,100.0,91.99026420712471,100.0,99.86749529838562,100.0,9.407894611358643,99.96710526315789,85.88815789473684,18.28947350382805,97.79605263157895,18.723684176802635,100.0,97.88157894736841,52.64473721385002,99.90789473684211,96.66520237922668,99.99560632688927,99.56502636203865,99.98681962490082,99.99560632688927,91.67658150196075,99.99729583558681,99.75392103839914,99.99729573726654,99.98377501352083
