,cnn_120,cnnDF_120,deep_forest_120,wdcnn_120,wdcnnDF_120,cnn_300,cnnDF_300,deep_forest_300,wdcnn_300,wdcnnDF_300,cnn_900,cnnDF_900,deep_forest_900,wdcnn_900,wdcnnDF_900
0HP,10.429042726755142,99.10891089108911,84.62046204620461,19.570956826210022,97.42574257425743,13.649538829922674,99.80237154150197,95.8893280632411,70.39525747299194,99.57839262187089,92.87285625934601,99.99560052793666,99.001319841619,99.85041856765747,99.95160580730312
1HP,11.155115514993668,96.8976897689769,78.77887788778878,15.874587595462799,97.95379537953795,9.802110642194748,98.83905013192611,95.27704485488127,51.25329822301865,99.07651715039579,68.20862710475922,99.97359154929578,99.11091549295774,99.70510601997375,99.86795774647888
2HP,10.894039794802666,99.63576158940397,80.33112582781457,18.774834349751472,98.80794701986756,13.337730914354323,99.9868073878628,95.46174142480211,56.76781058311462,99.85488126649076,96.75330340862274,100.0,99.70044052863436,99.95154142379761,99.99118942731278
3HP,9.407894611358643,99.96710526315789,85.88815789473684,18.28947350382805,97.79605263157895,18.723684176802635,100.0,97.88157894736841,52.64473721385002,99.90789473684211,96.66520237922668,99.99560632688927,99.56502636203865,99.98681962490082,99.99560632688927
