,lenet5_120,lenet5_DF_120,zhao_120,zhao_DF_120,lenet5_300,lenet5_DF_300,zhao_300,zhao_DF_300,lenet5_900,lenet5_DF_900,zhao_900,zhao_DF_900,lenet5_1500,lenet5_DF_1500,zhao_1500,zhao_DF_1500
0HP,78.91089081764221,98.9108910891089,78.25082570314407,99.10891089108911,83.63636314868927,99.86824769433466,94.86166000366211,99.96047430830039,87.24153101444244,99.95160580730312,98.64936172962189,100.0,91.77723526954651,100.0,99.76532061894736,100.0
1HP,70.33003211021423,96.76567656765675,80.06600677967072,99.04290429042904,80.21108090877533,99.52506596306068,97.25593686103821,99.73614775725594,88.75880300998688,99.67429577464789,97.5616192817688,99.93397887323945,68.23763052622476,99.94582881906825,99.96388554573059,99.97291440953411
2HP,81.78807944059372,99.7682119205298,85.9271514415741,99.90066225165563,87.32189953327179,100.0,97.38786220550537,99.96042216358839,96.92951560020447,99.99559471365639,98.43612432479858,99.99559471365639,99.7831384340922,100.0,99.46688413619995,100.0
3HP,85.6578940153122,100.0,89.07894849777222,99.96710526315789,74.42105323076248,100.0,98.06578934192657,100.0,97.48681902885437,100.0,99.8681902885437,100.0,83.64881873130798,100.0,99.99098579088846,100.0
